name,age,country,policytype,policytier,sumsssured,smokerdrinker,numdiseases,diseases,annualpremium,priceofvehicle,ageofvehicle,typeofvehicle,propertyvalue,propertyage,propertytype,propertysize,destinationcountry,tripdurationdays,existingmedicalcondition,healthcoverage,baggagecoverage,tripcancellationcoverage,accidentcoverage,trippremium
Sheri Adams,48,India,Health,Basic,1557887,No,2,"Asthma, Hypertension",22589,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Anthony Rios,22,India,Health,Basic,1945439,No,3,"Hypertension, Asthma, Heart Condition",26263,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Amanda Erickson,60,India,Health,Basic,1941245,No,4,"Asthma, Hypertension, Heart Condition, Diabetes",29118,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Todd Gilbert,44,India,Health,Basic,2483468,Yes,2,"Hypertension, Thyroid",37252,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Alisha Hines,59,India,Health,Basic,1748417,No,2,"Thyroid, Diabetes",26226,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Carrie Simmons,20,India,Health,Basic,1623514,Yes,2,"Thyroid, Hypertension",22729,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Franklin Lewis,18,India,Health,Basic,1685532,No,3,"Diabetes, Thyroid, Hypertension",22754,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Christopher Miller,33,India,Health,Basic,2457949,No,1,Diabetes,31953,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Brooke Williams,39,India,Health,Basic,1779189,Yes,2,"Asthma, Hypertension",24908,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
John Greer,31,India,Health,Basic,2034991,Yes,0,None,21367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Willie Nguyen,59,India,Health,Basic,1973923,No,2,"Thyroid, Heart Condition",29608,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Melissa Robinson,29,India,Health,Basic,1530321,Yes,3,"Heart Condition, Diabetes, Thyroid",21424,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Paul Phillips,44,India,Health,Basic,2334654,Yes,0,None,26848,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Gregory Garza,46,India,Health,Basic,1841474,No,2,"Diabetes, Heart Condition",26701,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Melanie Olson,38,India,Health,Basic,2079911,No,1,Thyroid,27038,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Jason Cooper,59,India,Health,Basic,2483212,Yes,2,"Heart Condition, Hypertension",38489,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Earl Johnson,25,India,Health,Basic,1872917,No,2,"Heart Condition, Asthma",25284,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Heather Huff,22,India,Health,Basic,1835823,No,1,Heart Condition,23865,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Andrew Woods,45,India,Health,Basic,2293697,Yes,4,"Heart Condition, Thyroid, Diabetes, Asthma",34405,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
