name,age,country,policytype,policytier,sumassured,smokerdrinker,numdiseases,diseases,annualpremium,priceofvehicle,ageofvehicle,typeofvehicle,propertyvalue,propertyage,propertytype,propertysize,destinationcountry,tripdurationdays,existingmedicalcondition,healthcoverage,baggagecoverage,tripcancellationcoverage,accidentcoverage,trippremium
sheri adams,48,india,health,basic,1557887.0,no,2.0,"asthma, hypertension",22589.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
anthony rios,22,india,health,basic,1945439.0,no,3.0,"hypertension, asthma, heart condition",26263.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
amanda erickson,60,india,health,basic,1941245.0,no,4.0,"asthma, hypertension, heart condition, diabetes",29118.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
todd gilbert,44,india,health,basic,2483468.0,yes,2.0,"hypertension, thyroid",37252.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
alisha hines,59,india,health,basic,1748417.0,no,2.0,"thyroid, diabetes",26226.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
carrie simmons,20,india,health,basic,1623514.0,yes,2.0,"thyroid, hypertension",22729.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
franklin lewis,18,india,health,basic,1685532.0,no,3.0,"diabetes, thyroid, hypertension",22754.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
christopher miller,33,india,health,basic,2457949.0,no,1.0,diabetes,31953.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
brooke williams,39,india,health,basic,1779189.0,yes,2.0,"asthma, hypertension",24908.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
john greer,31,india,health,basic,2034991.0,yes,0.0,nan,21367.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
willie nguyen,59,india,health,basic,1973923.0,no,2.0,"thyroid, heart condition",29608.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
melissa robinson,29,india,health,basic,1530321.0,yes,3.0,"heart condition, diabetes, thyroid",21424.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
paul phillips,44,india,health,basic,2334654.0,yes,0.0,nan,26848.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
gregory garza,46,india,health,basic,1841474.0,no,2.0,"diabetes, heart condition",26701.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
melanie olson,38,india,health,basic,2079911.0,no,1.0,thyroid,27038.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
jason cooper,59,india,health,basic,2483212.0,yes,2.0,"heart condition, hypertension",38489.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
earl johnson,25,india,health,basic,1872917.0,no,2.0,"heart condition, asthma",25284.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
heather huff,22,india,health,basic,1835823.0,no,1.0,heart condition,23865.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
andrew woods,45,india,health,basic,2293697.0,yes,4.0,"heart condition, thyroid, diabetes, asthma",34405.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
cynthia miller,47,india,health,basic,1914916.0,no,4.0,"thyroid, hypertension, asthma, heart condition",27766.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
michael nelson,26,india,health,basic,2253217.0,yes,4.0,"diabetes, asthma, heart condition, hypertension",31545.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
michael smith,46,india,health,basic,1995601.0,no,2.0,"heart condition, hypertension",28936.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
kenneth schmitt,42,india,health,basic,1658945.0,yes,1.0,diabetes,24054.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
garrett roth,43,india,health,basic,2174422.0,yes,1.0,heart condition,31529.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
mr. joseph walters,53,india,health,basic,2075027.0,yes,1.0,diabetes,31125.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
michael sellers,23,india,health,basic,2496028.0,no,2.0,"asthma, diabetes",33696.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
crystal eaton,18,india,health,basic,2081187.0,yes,3.0,"thyroid, heart condition, asthma",29136.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
carl dyer,48,india,health,basic,2403889.0,no,3.0,"heart condition, thyroid, hypertension",34856.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
sarah larsen,34,india,health,basic,2256010.0,no,0.0,nan,22560.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
joseph garcia,56,india,health,basic,1978181.0,yes,1.0,asthma,29672.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
virginia parker,32,india,health,basic,2103871.0,no,1.0,thyroid,27350.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
michael wright,22,india,health,basic,2024174.0,no,0.0,nan,20241.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
john roberts,20,india,health,basic,1714816.0,yes,2.0,"diabetes, heart condition",24007.0,,,nan,,,nan,,nan,,nan,nan,nan,nan,nan,
